pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_MITOCHONDRIA_PATHWAY,0.519056261343013,0.958090185676393,0.0721797965581253,-0.316914775289845,-0.962542824110603,19,BAK1 CASP3 CASP9 BID ENDOG
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.352803738317757,0.905073877892389,0.108394255853397,0.310870287308216,1.07347435848051,25,ASS1 GLS2 GFPT1 GPT2 GOT1 GOT2 ASNS IL4I1
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.29126213592233,0.905073877892389,0.12384217120105,0.272760650834131,1.11835997091201,51,ASS1 MAOA CKMT1A P4HA2 AGMAT AOC1 GLS2 PRODH PYCR1 GOT1 GOT2
KEGG_BETA_ALANINE_METABOLISM,0.729357798165138,0.995918367346939,0.0668966276500666,0.246002562357368,0.824780219457716,22,UPB1 AOC3
KEGG_BUTANOATE_METABOLISM,0.763385146804836,0.995918367346939,0.0513223330421143,-0.242299486164815,-0.813452454835749,29,ECHS1 EHHADH ALDH3A2 BDH2 ACAT1 ACADS ACSM3 GAD2 GAD1 ABAT PDHB ACSM1
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.962174940898345,0.995918367346939,0.0551351763385257,0.179074141952318,0.634813848388096,29,SDHB SDHA SUCLG2 MDH1 DLST PCK2 MDH2 PCK1 SUCLG1 PC OGDHL IDH1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.00188935387940027,0.0406211084071059,0.45505986738723,0.527222271659162,1.86292538674442,27,SHMT1 MAOA SHMT2 AOC3 GNMT DMGDH PSAT1 SARDH ALAS1 GCAT PHGDH
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.819130434782609,0.995918367346939,0.0484087618816951,-0.256586339623901,-0.722889740193017,14,GLYCTK
KEGG_LYSINE_DEGRADATION,0.0136123498981252,0.146332761404846,0.380730400722792,-0.41679998829526,-1.55183019826721,44,SETDB2 SETD7 KMT5B EHMT1 SETD1A AADAT SETDB1 ECHS1 EHHADH ALDH3A2 PLOD2 KMT5A SETD1B ACAT1 NSD2 NSD1 SETMAR OGDH
KEGG_OXIDATIVE_PHOSPHORYLATION,0.47953216374269,0.958090185676393,0.103197466945307,0.207794144130145,0.995921768694456,125,NDUFV3 ATP6V0D2 MT-CO2 UQCRFS1 NDUFA3 COX15 NDUFA7 SDHB PPA2 SDHA NDUFA4 ATP6V0C MT-ND4 ATP6AP1 ATP5ME UQCRH ATP6V1G2 LHPP ATP6V0A4 ATP6V1B1 MT-ND3 NDUFB4
KEGG_PPAR_SIGNALING_PATHWAY,0.5725,0.958090185676393,0.0838361057159929,0.224939866558719,0.942723860775921,56,ANGPTL4 MMP1 ILK SLC27A5 AQP7 PLTP ACSL6 ACSL4 NR1H3 SCD5 CPT1B FABP6 RXRG PCK2 PCK1 RXRA SCD RXRB
KEGG_PROPANOATE_METABOLISM,0.0898100172711572,0.64363845710996,0.195789002148949,-0.413686587280768,-1.38883649851104,29,LDHA ACACA ECHS1 EHHADH ACACB ALDH3A2 SUCLA2 MLYCD ACAT1
